method,dimension,segment,kpi,n,true_cate,predicted_cate
arm_mean,budget_bucket,1,revenue,730,0.152575342466,6.06068503273
arm_mean,budget_bucket,2,impressions,351,147.512250712,-344.356248273
arm_mean,budget_bucket,2,clicks,351,1.61709401709,-3.65381085784
arm_mean,budget_bucket,2,conversions,351,0.0367521367521,-0.0427987295746
arm_mean,budget_bucket,2,revenue,351,3.46868945869,-5.94447376527
arm_mean,budget_bucket,3,impressions,137,522.545255474,-343.562874977
arm_mean,budget_bucket,3,clicks,137,5.58686131387,-3.64556120642
arm_mean,budget_bucket,3,conversions,137,0.0613138686131,-0.0426579309875
arm_mean,budget_bucket,3,revenue,137,13.6401459854,-5.92989810297
arm_mean,kol_tier,macro,impressions,7,156.428571429,565.009541798
arm_mean,kol_tier,macro,clicks,7,2,5.9383113089
arm_mean,kol_tier,macro,conversions,7,0.0285714285714,0.0826792815187
arm_mean,kol_tier,macro,revenue,7,5.56857142857,9.93400372109
arm_mean,kol_tier,micro,impressions,755,83.0421192053,156.943816385
arm_mean,kol_tier,micro,clicks,755,0.850066225166,1.67276397481
arm_mean,kol_tier,micro,conversions,755,0.0153642384106,0.0189089587375
arm_mean,kol_tier,micro,revenue,755,1.90017218543,2.754682165
arm_mean,kol_tier,mid,impressions,68,-70.7720588235,248.132815534
arm_mean,kol_tier,mid,clicks,68,-1.17647058824,2.60526481658
arm_mean,kol_tier,mid,conversions,68,-0.0176470588235,0.0364761536112
arm_mean,kol_tier,mid,revenue,68,-3.69588235294,4.34382183063
arm_mean,kol_tier,nano,impressions,1170,58.6523076923,186.404301896
arm_mean,kol_tier,nano,clicks,1170,0.674444444444,1.98592409434
arm_mean,kol_tier,nano,conversions,1170,0.00931623931624,0.0225050096356
arm_mean,kol_tier,nano,revenue,1170,1.65271794872,3.26534618448
arm_mean,niche,beauty,impressions,219,70.8639269406,144.039141325
arm_mean,niche,beauty,clicks,219,0.518721461187,1.53468541556
arm_mean,niche,beauty,conversions,219,0.00684931506849,0.0174748582599
arm_mean,niche,beauty,revenue,219,0.854063926941,2.53008588327
arm_mean,niche,beverage,impressions,171,88.3187134503,161.711467793
arm_mean,niche,beverage,clicks,171,1.03099415205,1.72217798776
arm_mean,niche,beverage,conversions,171,0.0169590643275,0.0197358340398
arm_mean,niche,beverage,revenue,171,2.6865497076,2.83918303708
arm_mean,niche,electronics,impressions,174,35.4304597701,178.759996269
arm_mean,niche,electronics,clicks,174,0.418390804598,1.90466921104
arm_mean,niche,electronics,conversions,174,0.00747126436782,0.0215145057317
arm_mean,niche,electronics,revenue,174,0.855862068966,3.12908337227
arm_mean,niche,fashion,impressions,199,74.6934673367,208.102394825
arm_mean,niche,fashion,clicks,199,0.804020100503,2.21167964103
arm_mean,niche,fashion,conversions,199,0.0115577889447,0.02607551625
arm_mean,niche,fashion,revenue,199,2.0556281407,3.64700390378
arm_mean,niche,fitness,impressions,225,56.2648888889,207.261303048
arm_mean,niche,fitness,clicks,225,0.8,2.20763058901
arm_mean,niche,fitness,conversions,225,0.0115555555556,0.0250508888507
arm_mean,niche,fitness,revenue,225,1.66871111111,3.62687858485
arm_mean,niche,food,impressions,194,71.1051546392,198.983415417
arm_mean,niche,food,clicks,194,0.732989690722,2.11434085062
arm_mean,niche,food,conversions,194,0.0123711340206,0.0250530273602
arm_mean,niche,food,revenue,194,1.74742268041,3.49033188857
arm_mean,niche,home,impressions,214,69.7565420561,179.507803052
arm_mean,niche,home,clicks,214,0.52523364486,1.91126732785
arm_mean,niche,home,conversions,214,0.00981308411215,0.0219241403015
arm_mean,niche,home,revenue,214,1.43364485981,3.14778389467
arm_mean,niche,parenting,impressions,193,60.3398963731,200.503819966
arm_mean,niche,parenting,clicks,193,0.69274611399,2.13533316595
arm_mean,niche,parenting,conversions,193,0.0103626943005,0.0243035233389
arm_mean,niche,parenting,revenue,193,1.9885492228,3.50958471843
arm_mean,niche,pet,impressions,196,45.2785714286,172.763571244
arm_mean,niche,pet,clicks,196,0.402551020408,1.84111061551
arm_mean,niche,pet,conversions,196,0.00816326530612,0.020778876343
arm_mean,niche,pet,revenue,196,0.526020408163,3.02696145165
arm_mean,niche,travel,impressions,215,65.3479069767,137.161493613
arm_mean,niche,travel,clicks,215,0.906976744186,1.46131045335
arm_mean,niche,travel,conversions,215,0.013023255814,0.0166518238813
arm_mean,niche,travel,revenue,215,2.06227906977,2.40894173454
arm_mean,arm_x_kol_tier,0->1|micro,impressions,551,0.0967332123412,339.086768896
arm_mean,arm_x_kol_tier,0->1|micro,clicks,551,-0.00816696914701,3.60891362715
arm_mean,arm_x_kol_tier,0->1|micro,conversions,551,0,0.0411419707401
arm_mean,arm_x_kol_tier,0->1|micro,revenue,551,-0.0367876588022,5.91192314854
arm_mean,arm_x_kol_tier,0->1|nano,impressions,905,0,339.086768896
arm_mean,arm_x_kol_tier,0->1|nano,clicks,905,-0.0060773480663,3.60891362715
arm_mean,arm_x_kol_tier,0->1|nano,conversions,905,0,0.0411419707401
arm_mean,arm_x_kol_tier,0->1|nano,revenue,905,0.00906077348066,5.91192314854
arm_mean,arm_x_kol_tier,1->2|micro,impressions,204,307.075980392,-335.020726917
arm_mean,arm_x_kol_tier,1->2|micro,clicks,204,3.1681372549,-3.55673827243
arm_mean,arm_x_kol_tier,1->2|micro,conversions,204,0.056862745098,-0.0411419707401
arm_mean,arm_x_kol_tier,1->2|micro,revenue,204,7.1318627451,-5.77296382488
arm_mean,arm_x_kol_tier,1->2|nano,impressions,265,258.955471698,-335.020726917
arm_mean,arm_x_kol_tier,1->2|nano,clicks,265,2.99849056604,-3.55673827243
arm_mean,arm_x_kol_tier,1->2|nano,conversions,265,0.0411320754717,-0.0411419707401
arm_mean,arm_x_kol_tier,1->2|nano,revenue,265,7.26596226415,-5.77296382488
arm_mean,arm_x_kol_tier,2->3|macro,impressions,7,156.428571429,565.009541798
arm_mean,arm_x_kol_tier,2->3|macro,clicks,7,2,5.9383113089
arm_mean,arm_x_kol_tier,2->3|macro,conversions,7,0.0285714285714,0.0826792815187
arm_mean,arm_x_kol_tier,2->3|macro,revenue,7,5.56857142857,9.93400372109
arm_mean,arm_x_kol_tier,2->3|mid,impressions,49,63.0346938776,565.009541798
arm_mean,arm_x_kol_tier,2->3|mid,clicks,49,0.569387755102,5.9383113089
arm_mean,arm_x_kol_tier,2->3|mid,conversions,49,0,0.0826792815187
arm_mean,arm_x_kol_tier,2->3|mid,revenue,49,0.874489795918,9.93400372109
arm_mean,arm_x_kol_tier,3->0|mid,impressions,19,-415.852631579,-569.075583777
arm_mean,arm_x_kol_tier,3->0|mid,clicks,19,-5.67894736842,-5.99048666361
arm_mean,arm_x_kol_tier,3->0|mid,conversions,19,-0.0631578947368,-0.0826792815187
arm_mean,arm_x_kol_tier,3->0|mid,revenue,19,-15.4826315789,-10.0729630448
lightgbm_substitution,budget_bucket,0,impressions,782,0,13.4438582949
lightgbm_substitution,budget_bucket,0,clicks,782,-0.0162404092072,0.0239335934697
lightgbm_substitution,budget_bucket,0,conversions,782,0,0.000576107099247
lightgbm_substitution,budget_bucket,0,revenue,782,-0.0532225063939,0.074700946144
lightgbm_substitution,budget_bucket,1,impressions,730,5.80410958904,20.4326648377
lightgbm_substitution,budget_bucket,1,clicks,730,0.061095890411,0.0143180204729
lightgbm_substitution,budget_bucket,1,conversions,730,0.00027397260274,0.000553263589189
lightgbm_substitution,budget_bucket,1,revenue,730,0.152575342466,0.0200391992476
lightgbm_substitution,budget_bucket,2,impressions,351,147.512250712,43.3971853279
lightgbm_substitution,budget_bucket,2,clicks,351,1.61709401709,0.986267692703
lightgbm_substitution,budget_bucket,2,conversions,351,0.0367521367521,0.0145231166483
lightgbm_substitution,budget_bucket,2,revenue,351,3.46868945869,1.22123039271
lightgbm_substitution,budget_bucket,3,impressions,137,522.545255474,215.01247868
lightgbm_substitution,budget_bucket,3,clicks,137,5.58686131387,1.83319867235
lightgbm_substitution,budget_bucket,3,conversions,137,0.0613138686131,0.0345049815994
lightgbm_substitution,budget_bucket,3,revenue,137,13.6401459854,2.15518251319
lightgbm_substitution,kol_tier,macro,impressions,7,156.428571429,28.7864250108
lightgbm_substitution,kol_tier,macro,clicks,7,2,0.344921317221
lightgbm_substitution,kol_tier,macro,conversions,7,0.0285714285714,0.0185255569598
lightgbm_substitution,kol_tier,macro,revenue,7,5.56857142857,0.297437616753
lightgbm_substitution,kol_tier,micro,impressions,755,83.0421192053,49.0288051635
lightgbm_substitution,kol_tier,micro,clicks,755,0.850066225166,0.58126225456
lightgbm_substitution,kol_tier,micro,conversions,755,0.0153642384106,0.00697735554764
lightgbm_substitution,kol_tier,micro,revenue,755,1.90017218543,0.372165070754
lightgbm_substitution,kol_tier,mid,impressions,68,-70.7720588235,-71.0356934574
lightgbm_substitution,kol_tier,mid,clicks,68,-1.17647058824,-0.496683004379
lightgbm_substitution,kol_tier,mid,conversions,68,-0.0176470588235,0.00150708581431
lightgbm_substitution,kol_tier,mid,revenue,68,-3.69588235294,-0.715214075271
lightgbm_substitution,kol_tier,nano,impressions,1170,58.6523076923,32.2480670333
lightgbm_substitution,kol_tier,nano,clicks,1170,0.674444444444,0.187182389891
lightgbm_substitution,kol_tier,nano,conversions,1170,0.00931623931624,0.00442660719816
lightgbm_substitution,kol_tier,nano,revenue,1170,1.65271794872,0.480790164842
lightgbm_substitution,niche,beauty,impressions,219,70.8639269406,38.1950007433
lightgbm_substitution,niche,beauty,clicks,219,0.518721461187,0.413308385853
lightgbm_substitution,niche,beauty,conversions,219,0.00684931506849,0.00592366506533
lightgbm_substitution,niche,beauty,revenue,219,0.854063926941,0.473986042455
lightgbm_substitution,niche,beverage,impressions,171,88.3187134503,43.7417154461
lightgbm_substitution,niche,beverage,clicks,171,1.03099415205,0.405787918836
lightgbm_substitution,niche,beverage,conversions,171,0.0169590643275,0.00633474717321
lightgbm_substitution,niche,beverage,revenue,171,2.6865497076,0.402338484076
lightgbm_substitution,niche,electronics,impressions,174,35.4304597701,23.7361712174
lightgbm_substitution,niche,electronics,clicks,174,0.418390804598,0.214307152675
lightgbm_substitution,niche,electronics,conversions,174,0.00747126436782,0.00382512046791
lightgbm_substitution,niche,electronics,revenue,174,0.855862068966,0.38304853804
lightgbm_substitution,niche,fashion,impressions,199,74.6934673367,31.393436486
lightgbm_substitution,niche,fashion,clicks,199,0.804020100503,0.310983312917
lightgbm_substitution,niche,fashion,conversions,199,0.0115577889447,0.00572871347373
lightgbm_substitution,niche,fashion,revenue,199,2.0556281407,0.406801351347
lightgbm_substitution,niche,fitness,impressions,225,56.2648888889,36.8162188408
lightgbm_substitution,niche,fitness,clicks,225,0.8,0.263843258618
lightgbm_substitution,niche,fitness,conversions,225,0.0115555555556,0.00421181888551
lightgbm_substitution,niche,fitness,revenue,225,1.66871111111,0.264346718477
lightgbm_substitution,niche,food,impressions,194,71.1051546392,36.0313262595
lightgbm_substitution,niche,food,clicks,194,0.732989690722,0.366350470152
lightgbm_substitution,niche,food,conversions,194,0.0123711340206,0.00659647779822
lightgbm_substitution,niche,food,revenue,194,1.74742268041,0.340891116418
lightgbm_substitution,niche,home,impressions,214,69.7565420561,36.87411666
lightgbm_substitution,niche,home,clicks,214,0.52523364486,0.285754358912
lightgbm_substitution,niche,home,conversions,214,0.00981308411215,0.00472877943387
lightgbm_substitution,niche,home,revenue,214,1.43364485981,0.375978385865
lightgbm_substitution,niche,parenting,impressions,193,60.3398963731,38.5679589685
lightgbm_substitution,niche,parenting,clicks,193,0.69274611399,0.316168185217
lightgbm_substitution,niche,parenting,conversions,193,0.0103626943005,0.00582208836696
lightgbm_substitution,niche,parenting,revenue,193,1.9885492228,0.642807244797
lightgbm_substitution,niche,pet,impressions,196,45.2785714286,28.6694093096
lightgbm_substitution,niche,pet,clicks,196,0.402551020408,0.200138607466
lightgbm_substitution,niche,pet,conversions,196,0.00816326530612,0.00452012689878
lightgbm_substitution,niche,pet,revenue,196,0.526020408163,0.309213311064
lightgbm_substitution,niche,travel,impressions,215,65.3479069767,35.6675822624
lightgbm_substitution,niche,travel,clicks,215,0.906976744186,0.351540580529
lightgbm_substitution,niche,travel,conversions,215,0.013023255814,0.00578670961798
lightgbm_substitution,niche,travel,revenue,215,2.06227906977,0.400055901584
lightgbm_substitution,arm_x_kol_tier,0->1|micro,impressions,551,0.0967332123412,22.085450202
lightgbm_substitution,arm_x_kol_tier,0->1|micro,clicks,551,-0.00816696914701,0.0263106464428
lightgbm_substitution,arm_x_kol_tier,0->1|micro,conversions,551,0,8.52073876803e-06
lightgbm_substitution,arm_x_kol_tier,0->1|micro,revenue,551,-0.0367876588022,0.0559356854119
lightgbm_substitution,arm_x_kol_tier,0->1|nano,impressions,905,0,13.6968629509
lightgbm_substitution,arm_x_kol_tier,0->1|nano,clicks,905,-0.0060773480663,0.0134264872812
lightgbm_substitution,arm_x_kol_tier,0->1|nano,conversions,905,0,-1.3161676366e-05
lightgbm_substitution,arm_x_kol_tier,0->1|nano,revenue,905,0.00906077348066,0.043323213724
lightgbm_substitution,arm_x_kol_tier,1->2|micro,impressions,204,307.075980392,121.802278614
lightgbm_substitution,arm_x_kol_tier,1->2|micro,clicks,204,3.1681372549,2.08017566668
lightgbm_substitution,arm_x_kol_tier,1->2|micro,conversions,204,0.056862745098,0.0258000417226
lightgbm_substitution,arm_x_kol_tier,1->2|micro,revenue,204,7.1318627451,1.22629443999
lightgbm_substitution,arm_x_kol_tier,1->2|nano,impressions,265,258.955471698,95.6021790882
lightgbm_substitution,arm_x_kol_tier,1->2|nano,clicks,265,2.99849056604,0.780575189371
lightgbm_substitution,arm_x_kol_tier,1->2|nano,conversions,265,0.0411320754717,0.0195888367508
lightgbm_substitution,arm_x_kol_tier,1->2|nano,revenue,265,7.26596226415,1.97478107338
lightgbm_substitution,arm_x_kol_tier,2->3|macro,impressions,7,156.428571429,28.7864250108
lightgbm_substitution,arm_x_kol_tier,2->3|macro,clicks,7,2,0.344921317221
lightgbm_substitution,arm_x_kol_tier,2->3|macro,conversions,7,0.0285714285714,0.0185255569598
lightgbm_substitution,arm_x_kol_tier,2->3|macro,revenue,7,5.56857142857,0.297437616753
lightgbm_substitution,arm_x_kol_tier,2->3|mid,impressions,49,63.0346938776,13.5243573721
lightgbm_substitution,arm_x_kol_tier,2->3|mid,clicks,49,0.569387755102,0.0021558905828
lightgbm_substitution,arm_x_kol_tier,2->3|mid,conversions,49,0,0.0149374625112
lightgbm_substitution,arm_x_kol_tier,2->3|mid,revenue,49,0.874489795918,0.0190738966488
lightgbm_substitution,arm_x_kol_tier,3->0|mid,impressions,19,-415.852631579,-289.111614018
lightgbm_substitution,arm_x_kol_tier,3->0|mid,clicks,19,-5.67894736842,-1.78316225981
lightgbm_substitution,arm_x_kol_tier,3->0|mid,conversions,19,-0.0631578947368,-0.0331291488252
lightgbm_substitution,arm_x_kol_tier,3->0|mid,revenue,19,-15.4826315789,-2.60890410812
t_learner,budget_bucket,0,impressions,782,0,963.287222744
t_learner,budget_bucket,0,clicks,782,-0.0162404092072,8.98301688114
t_learner,budget_bucket,0,conversions,782,0,0.104086735167
t_learner,budget_bucket,0,revenue,782,-0.0532225063939,14.3128416446
t_learner,budget_bucket,1,impressions,730,5.80410958904,958.146153662
t_learner,budget_bucket,1,clicks,730,0.061095890411,9.25127707215
t_learner,budget_bucket,1,conversions,730,0.00027397260274,0.103354977373
t_learner,budget_bucket,1,revenue,730,0.152575342466,14.8252932171
t_learner,budget_bucket,2,impressions,351,147.512250712,-194.185813681
t_learner,budget_bucket,2,clicks,351,1.61709401709,-2.19125877609
t_learner,budget_bucket,2,conversions,351,0.0367521367521,-0.0104217308545
t_learner,budget_bucket,2,revenue,351,3.46868945869,-3.46023230462
t_learner,budget_bucket,3,impressions,137,522.545255474,-1138.65176013
t_learner,budget_bucket,3,clicks,137,5.58686131387,-12.0501035494
t_learner,budget_bucket,3,conversions,137,0.0613138686131,-0.131986944515
t_learner,budget_bucket,3,revenue,137,13.6401459854,-19.8377366772
t_learner,kol_tier,macro,impressions,7,156.428571429,1727.80482616
t_learner,kol_tier,macro,clicks,7,2,17.6036898647
t_learner,kol_tier,macro,conversions,7,0.0285714285714,0.178193156262
t_learner,kol_tier,macro,revenue,7,5.56857142857,23.6295506433
t_learner,kol_tier,micro,impressions,755,83.0421192053,644.416368052
t_learner,kol_tier,micro,clicks,755,0.850066225166,6.00403403972
t_learner,kol_tier,micro,conversions,755,0.0153642384106,0.0713781983858
t_learner,kol_tier,micro,revenue,755,1.90017218543,9.73869345919
t_learner,kol_tier,mid,impressions,68,-70.7720588235,760.343315324
t_learner,kol_tier,mid,clicks,68,-1.17647058824,8.11780055676
t_learner,kol_tier,mid,conversions,68,-0.0176470588235,0.0831549932679
t_learner,kol_tier,mid,revenue,68,-3.69588235294,10.698959238
t_learner,kol_tier,nano,impressions,1170,58.6523076923,579.701240611
t_learner,kol_tier,nano,clicks,1170,0.674444444444,5.25630211978
t_learner,kol_tier,nano,conversions,1170,0.00931623931624,0.0635147778097
t_learner,kol_tier,nano,revenue,1170,1.65271794872,8.40781633035
t_learner,niche,beauty,impressions,219,70.8639269406,572.286013758
t_learner,niche,beauty,clicks,219,0.518721461187,5.27691785921
t_learner,niche,beauty,conversions,219,0.00684931506849,0.0617239792696
t_learner,niche,beauty,revenue,219,0.854063926941,9.10714565442
t_learner,niche,beverage,impressions,171,88.3187134503,566.008349989
t_learner,niche,beverage,clicks,171,1.03099415205,5.13092210432
t_learner,niche,beverage,conversions,171,0.0169590643275,0.0635622479489
t_learner,niche,beverage,revenue,171,2.6865497076,8.42774402665
t_learner,niche,electronics,impressions,174,35.4304597701,651.444276672
t_learner,niche,electronics,clicks,174,0.418390804598,6.22715168132
t_learner,niche,electronics,conversions,174,0.00747126436782,0.0699739454774
t_learner,niche,electronics,revenue,174,0.855862068966,9.38319253923
t_learner,niche,fashion,impressions,199,74.6934673367,678.974450881
t_learner,niche,fashion,clicks,199,0.804020100503,6.16937871471
t_learner,niche,fashion,conversions,199,0.0115577889447,0.0704340684712
t_learner,niche,fashion,revenue,199,2.0556281407,9.63630238715
t_learner,niche,fitness,impressions,225,56.2648888889,633.464880863
t_learner,niche,fitness,clicks,225,0.8,5.83330260199
t_learner,niche,fitness,conversions,225,0.0115555555556,0.0701556730373
t_learner,niche,fitness,revenue,225,1.66871111111,9.60624757484
t_learner,niche,food,impressions,194,71.1051546392,678.307168992
t_learner,niche,food,clicks,194,0.732989690722,6.57314127018
t_learner,niche,food,conversions,194,0.0123711340206,0.0781796129037
t_learner,niche,food,revenue,194,1.74742268041,10.1822492373
t_learner,niche,home,impressions,214,69.7565420561,586.488908644
t_learner,niche,home,clicks,214,0.52523364486,5.32340632699
t_learner,niche,home,conversions,214,0.00981308411215,0.0625011169455
t_learner,niche,home,revenue,214,1.43364485981,8.45225228634
t_learner,niche,parenting,impressions,193,60.3398963731,653.462705768
t_learner,niche,parenting,clicks,193,0.69274611399,5.86845159526
t_learner,niche,parenting,conversions,193,0.0103626943005,0.0714030920738
t_learner,niche,parenting,revenue,193,1.9885492228,9.44888740495
t_learner,niche,pet,impressions,196,45.2785714286,599.337591872
t_learner,niche,pet,clicks,196,0.402551020408,5.56631968393
t_learner,niche,pet,conversions,196,0.00816326530612,0.0697206717261
t_learner,niche,pet,revenue,196,0.526020408163,9.03158788018
t_learner,niche,travel,impressions,215,65.3479069767,533.856829039
t_learner,niche,travel,clicks,215,0.906976744186,4.94600343021
t_learner,niche,travel,conversions,215,0.013023255814,0.0593163751857
t_learner,niche,travel,revenue,215,2.06227906977,7.24425771078
t_learner,arm_x_kol_tier,0->1|micro,impressions,551,0.0967332123412,1059.08472136
t_learner,arm_x_kol_tier,0->1|micro,clicks,551,-0.00816696914701,10.1433133619
t_learner,arm_x_kol_tier,0->1|micro,conversions,551,0,0.11512239883
t_learner,arm_x_kol_tier,0->1|micro,revenue,551,-0.0367876588022,16.3796179384
t_learner,arm_x_kol_tier,0->1|nano,impressions,905,0,874.375801165
t_learner,arm_x_kol_tier,0->1|nano,clicks,905,-0.0060773480663,8.14157464871
t_learner,arm_x_kol_tier,0->1|nano,conversions,905,0,0.0939162024743
t_learner,arm_x_kol_tier,0->1|nano,revenue,905,0.00906077348066,13.0970053316
t_learner,arm_x_kol_tier,1->2|micro,impressions,204,307.075980392,-475.594723468
t_learner,arm_x_kol_tier,1->2|micro,clicks,204,3.1681372549,-5.17607824717
t_learner,arm_x_kol_tier,1->2|micro,conversions,204,0.056862745098,-0.0467740292847
t_learner,arm_x_kol_tier,1->2|micro,revenue,204,7.1318627451,-8.19831334499
t_learner,arm_x_kol_tier,1->2|nano,impressions,265,258.955471698,-426.640183168
t_learner,arm_x_kol_tier,1->2|nano,clicks,265,2.99849056604,-4.59717576204
t_learner,arm_x_kol_tier,1->2|nano,conversions,265,0.0411320754717,-0.0403089554787
t_learner,arm_x_kol_tier,1->2|nano,revenue,265,7.26596226415,-7.60620648517
t_learner,arm_x_kol_tier,2->3|macro,impressions,7,156.428571429,1727.80482616
t_learner,arm_x_kol_tier,2->3|macro,clicks,7,2,17.6036898647
